주(State),재구매율,평균 리뷰 점수
AC,0.13043478260869565,4.217391304347826
AL,0.03787878787878788,3.618320610687023
AM,0.08333333333333333,4.083333333333333
AP,0.16666666666666666,4.5
BA,0.03842940685045948,3.830204778156997
CE,0.03854389721627409,3.877155172413793
DF,0.04903078677309008,4.011534025374856
ES,0.05078125,3.925196850393701
GO,0.057649667405764965,3.9543429844097995
MA,0.016597510373443983,3.7625
MG,0.05424624136529866,4.075363506041368
MS,0.061371841155234655,4.093862815884476
MT,0.05459770114942529,3.968299711815562
PA,0.028662420382165606,3.9290322580645163
PB,0.031914893617021274,3.817204301075269
PE,0.04325259515570934,4.021164021164021
PI,0.07547169811320754,3.7243589743589745
PR,0.038378378378378375,4.102118413905486
RJ,0.058290888511601587,3.8135269392434084
RN,0.06557377049180328,4.060109289617486
RO,0.07792207792207792,4.0519480519480515
RR,0.0,2.933333333333333
RS,0.059213433495360145,4.011091393078971
SC,0.04461756373937677,3.9978601997146934
SE,0.08928571428571429,3.7767857142857144
SP,0.05041876975983138,4.148829151064662
TO,0.020618556701030927,3.9375
