seller_id,category_eng,month,sales_count,mean,z_score
04308b1ee57b6625f47df1d56f00eedf,health_beauty,2017-11,3,10.444444444444445,-0.721274966891751
04308b1ee57b6625f47df1d56f00eedf,health_beauty,2017-12,4,10.444444444444445,-0.6243872847719635
04308b1ee57b6625f47df1d56f00eedf,health_beauty,2018-01,1,10.444444444444445,-0.9150503311313258
04308b1ee57b6625f47df1d56f00eedf,health_beauty,2018-02,11,10.444444444444445,0.053826490066548556
04308b1ee57b6625f47df1d56f00eedf,health_beauty,2018-03,26,10.444444444444445,1.5071417218633603
04308b1ee57b6625f47df1d56f00eedf,health_beauty,2018-04,5,10.444444444444445,-0.5274996026521761
04308b1ee57b6625f47df1d56f00eedf,health_beauty,2018-06,1,10.444444444444445,-0.9150503311313258
04308b1ee57b6625f47df1d56f00eedf,health_beauty,2018-07,27,10.444444444444445,1.6040294039831478
04308b1ee57b6625f47df1d56f00eedf,health_beauty,2018-08,16,10.444444444444445,0.5382649006654857
1025f0e2d44d7041d6cf58b6550e0bfa,construction_tools_lights,2017-07,1,5.384615384615385,-0.9948840957879416
1025f0e2d44d7041d6cf58b6550e0bfa,construction_tools_lights,2017-08,2,5.384615384615385,-0.7679807055205163
1025f0e2d44d7041d6cf58b6550e0bfa,construction_tools_lights,2017-09,1,5.384615384615385,-0.9948840957879416
1025f0e2d44d7041d6cf58b6550e0bfa,construction_tools_lights,2017-10,2,5.384615384615385,-0.7679807055205163
1025f0e2d44d7041d6cf58b6550e0bfa,construction_tools_lights,2017-11,7,5.384615384615385,0.36653624581660993
1025f0e2d44d7041d6cf58b6550e0bfa,construction_tools_lights,2018-01,4,5.384615384615385,-0.3141739249856658
1025f0e2d44d7041d6cf58b6550e0bfa,construction_tools_lights,2018-02,2,5.384615384615385,-0.7679807055205163
1025f0e2d44d7041d6cf58b6550e0bfa,construction_tools_lights,2018-03,7,5.384615384615385,0.36653624581660993
1025f0e2d44d7041d6cf58b6550e0bfa,construction_tools_lights,2018-04,5,5.384615384615385,-0.08727053471824057
1025f0e2d44d7041d6cf58b6550e0bfa,construction_tools_lights,2018-05,7,5.384615384615385,0.36653624581660993
1025f0e2d44d7041d6cf58b6550e0bfa,construction_tools_lights,2018-06,4,5.384615384615385,-0.3141739249856658
1025f0e2d44d7041d6cf58b6550e0bfa,construction_tools_lights,2018-07,14,5.384615384615385,1.9548599776885867
1025f0e2d44d7041d6cf58b6550e0bfa,construction_tools_lights,2018-08,14,5.384615384615385,1.9548599776885867
1025f0e2d44d7041d6cf58b6550e0bfa,furniture_decor,2017-07,11,92.28571428571429,-1.5794721961706295
1025f0e2d44d7041d6cf58b6550e0bfa,furniture_decor,2017-08,43,92.28571428571429,-0.9576764634074995
1025f0e2d44d7041d6cf58b6550e0bfa,furniture_decor,2017-09,80,92.28571428571429,-0.2387251474001304
1025f0e2d44d7041d6cf58b6550e0bfa,furniture_decor,2017-10,69,92.28571428571429,-0.4524674305374563
1025f0e2d44d7041d6cf58b6550e0bfa,furniture_decor,2017-11,172,92.28571428571429,1.5489375842938684
1025f0e2d44d7041d6cf58b6550e0bfa,furniture_decor,2017-12,23,92.28571428571429,-1.3462987963844557
1025f0e2d44d7041d6cf58b6550e0bfa,furniture_decor,2018-01,78,92.28571428571429,-0.277587380697826
1025f0e2d44d7041d6cf58b6550e0bfa,furniture_decor,2018-02,42,92.28571428571429,-0.9771075800563472
1025f0e2d44d7041d6cf58b6550e0bfa,furniture_decor,2018-03,141,92.28571428571429,0.9465729681795861
1025f0e2d44d7041d6cf58b6550e0bfa,furniture_decor,2018-04,129,92.28571428571429,0.7133995683934125
1025f0e2d44d7041d6cf58b6550e0bfa,furniture_decor,2018-05,168,92.28571428571429,1.471213117698477
1025f0e2d44d7041d6cf58b6550e0bfa,furniture_decor,2018-06,104,92.28571428571429,0.2276216521722171
1025f0e2d44d7041d6cf58b6550e0bfa,furniture_decor,2018-07,123,92.28571428571429,0.5968128685003256
1025f0e2d44d7041d6cf58b6550e0bfa,furniture_decor,2018-08,109,92.28571428571429,0.3247772354164562
1025f0e2d44d7041d6cf58b6550e0bfa,home_construction,2018-04,9,12.2,-1.663600783712116
1025f0e2d44d7041d6cf58b6550e0bfa,home_construction,2018-05,14,12.2,0.9357754408380659
1025f0e2d44d7041d6cf58b6550e0bfa,home_construction,2018-06,13,12.2,0.41590019592802946
1025f0e2d44d7041d6cf58b6550e0bfa,home_construction,2018-07,12,12.2,-0.1039750489820069
1025f0e2d44d7041d6cf58b6550e0bfa,home_construction,2018-08,13,12.2,0.41590019592802946
1025f0e2d44d7041d6cf58b6550e0bfa,signaling_and_security,2018-06,1,1.6666666666666667,-1.1547005383792517
1025f0e2d44d7041d6cf58b6550e0bfa,signaling_and_security,2018-07,2,1.6666666666666667,0.5773502691896256
1025f0e2d44d7041d6cf58b6550e0bfa,signaling_and_security,2018-08,2,1.6666666666666667,0.5773502691896256
17e34d8224d27a541263c4c64b11a56b,computers_accessories,2017-06,1,4.1,-0.7113968161835331
17e34d8224d27a541263c4c64b11a56b,computers_accessories,2017-09,2,4.1,-0.48191397225336113
17e34d8224d27a541263c4c64b11a56b,computers_accessories,2017-10,5,4.1,0.20653455953715488
17e34d8224d27a541263c4c64b11a56b,computers_accessories,2017-11,16,4.1,2.730845842769047
17e34d8224d27a541263c4c64b11a56b,computers_accessories,2018-01,4,4.1,-0.022948284393017118
17e34d8224d27a541263c4c64b11a56b,computers_accessories,2018-02,2,4.1,-0.48191397225336113
