month,avg_price,avg_freight,sales_count,avg_shipping_days,avg_lead_time_days,unavailable_count,canceled_count,category_eng,unavailable_rate,canceled_rate
2017-01,125.98206282722512,17.670806282722513,955,3.0561556133636327,12.64142457456087,10,3,ALL_CATEGORIES,1.0471204188481675,0.31413612565445026
2017-02,126.75705791901588,19.978267555099947,1951,3.3890902542204766,12.976435771372127,45,17,ALL_CATEGORIES,2.3065094823167605,0.8713480266529985
2017-03,124.78143333333333,19.234763333333333,3000,2.951553747720556,12.368573959415771,32,33,ALL_CATEGORIES,1.0666666666666667,1.0999999999999999
2017-04,134.10105439642325,19.558498509687034,2684,3.203979817847713,14.844663820228364,9,18,ALL_CATEGORIES,0.3353204172876304,0.6706408345752608
2017-05,122.3576257253385,19.371327369439072,4136,2.6304473135106936,11.368224347269663,31,29,ALL_CATEGORIES,0.7495164410058027,0.7011605415860735
2017-06,120.85922411387105,19.51561261512699,3583,2.8007035668834845,11.982161349691623,24,16,ALL_CATEGORIES,0.6698297516048004,0.44655316773653364
2017-07,110.2083381279044,19.238800619606106,4519,2.7980636771654854,11.436557724646068,52,28,ALL_CATEGORIES,1.150697056870989,0.6196061075459172
2017-08,116.89850916496945,19.192040733197555,4910,2.7150084830253296,10.919038140639596,32,27,ALL_CATEGORIES,0.6517311608961304,0.5498981670061099
2017-09,129.24895259780584,19.871086731525565,4831,2.8233763644609504,11.852501387813822,38,20,ALL_CATEGORIES,0.7865866280273236,0.4139929621196439
2017-10,124.80635663284481,19.746888387824125,5322,3.067993578042328,11.704004041380756,58,26,ALL_CATEGORIES,1.0898158586997369,0.4885381435550545
2017-11,116.59219503750721,19.489024812463935,8665,3.639074307018228,15.044043969735313,84,37,ALL_CATEGORIES,0.9694171956145412,0.4270051933064051
2017-12,117.93185954343691,18.96529169308814,6308,3.300509374239646,15.243376342794628,42,11,ALL_CATEGORIES,0.6658211794546607,0.17438173747622066
2018-01,115.7444395711501,19.160761452241715,8208,3.2837001728478756,14.075354003051086,48,34,ALL_CATEGORIES,0.5847953216374269,0.4142300194931774
2018-02,110.03372132429614,18.604047184567257,7672,3.276634437204945,16.884880961618045,30,73,ALL_CATEGORIES,0.3910323253388947,0.9515119916579771
2018-03,119.6560107095047,20.921672143117927,8217,3.0220708088205255,16.037130012207854,17,26,ALL_CATEGORIES,0.2068881586953876,0.3164171838870634
2018-04,124.97150470219435,20.445177429467087,7975,2.425422904691886,11.327150391096346,5,15,ALL_CATEGORIES,0.06269592476489029,0.18808777429467086
2018-05,125.74355583596216,19.339323659305997,7925,2.336989261459597,11.318065992969602,16,24,ALL_CATEGORIES,0.2018927444794953,0.3028391167192429
2018-06,122.22722661768861,22.259508335688047,7078,2.265077224069256,9.117472737249523,4,18,ALL_CATEGORIES,0.05651313930488839,0.2543091268719977
2018-07,126.27005358150028,23.014778623801465,7092,2.6442974886668633,8.885663603528096,18,41,ALL_CATEGORIES,0.25380710659898476,0.5781161872532431
2018-08,117.92029939293597,20.505262141280355,7248,2.208763642271076,7.696339607512161,7,84,ALL_CATEGORIES,0.09657836644591612,1.1589403973509933
2018-09,145.0,21.46,1,0.9061805555555555,,0,15,ALL_CATEGORIES,0.0,1500.0
2017-01,21.99,13.930000000000001,3,2.7437114197530867,8.38164737654321,0,0,agro_industry_and_commerce,0.0,0.0
2017-02,32.12,15.179999999999998,7,1.6845684523809525,13.192959656084655,0,0,agro_industry_and_commerce,0.0,0.0
2017-03,40.995000000000005,14.35,2,1.7688773148148147,9.296423611111111,0,0,agro_industry_and_commerce,0.0,0.0
2017-05,394.985,45.95,4,2.4709403935185184,11.970584490740741,0,0,agro_industry_and_commerce,0.0,0.0
2017-06,1390.0,32.05,1,7.961481481481481,9.981585648148148,0,0,agro_industry_and_commerce,0.0,0.0
2017-07,1180.0,19.47,1,2.844212962962963,4.716261574074074,0,0,agro_industry_and_commerce,0.0,0.0
2017-08,22.0,34.15,4,0.8944560185185185,18.649710648148147,0,0,agro_industry_and_commerce,0.0,0.0
2017-09,498.4975,31.425,4,1.3921006944444443,10.256788194444445,0,0,agro_industry_and_commerce,0.0,0.0
2017-10,670.0559999999999,41.629999999999995,5,1.7350856481481483,10.644560185185185,0,0,agro_industry_and_commerce,0.0,0.0
2017-11,733.2889473684211,35.67526315789474,19,4.7948129873294345,18.348694566276805,0,0,agro_industry_and_commerce,0.0,0.0
2017-12,481.06363636363636,33.849090909090904,11,3.9206597222222217,12.476760311447812,0,0,agro_industry_and_commerce,0.0,0.0
2018-01,325.1911111111111,24.615,18,2.82227237654321,13.475302211934157,0,0,agro_industry_and_commerce,0.0,0.0
2018-02,274.2518518518519,24.25296296296296,27,3.118729522792023,16.635907229344728,0,0,agro_industry_and_commerce,0.0,0.0
2018-03,214.96428571428572,19.57464285714286,28,1.247758349867725,8.078587517806268,0,0,agro_industry_and_commerce,0.0,0.0
2018-04,375.05833333333334,23.58,12,2.2907807239057236,12.205979938271604,0,0,agro_industry_and_commerce,0.0,0.0
2018-05,409.96875,19.18375,8,1.7432566550925928,9.189742476851851,0,0,agro_industry_and_commerce,0.0,0.0
2018-06,351.58000000000004,32.725,10,1.5482951388888888,10.76408101851852,0,0,agro_industry_and_commerce,0.0,0.0
2018-07,258.5563333333333,32.61966666666667,30,2.891463122605364,7.712247942386831,0,0,agro_industry_and_commerce,0.0,0.0
2018-08,278.94944444444445,29.03611111111111,18,2.220193544238683,6.880131172839507,0,0,agro_industry_and_commerce,0.0,0.0
