category_eng,month,total_sales,market_avg_price,seller_count,market_avg_sales
auto,2018-04,356,139.40783707865168,99,3.595959595959596
auto,2018-05,311,131.60173633440513,104,2.9903846153846154
auto,2018-06,300,151.35829999999999,107,2.803738317757009
auto,2018-07,345,127.09040579710145,114,3.026315789473684
auto,2018-08,377,120.37371352785146,119,3.168067226890756
baby,2016-10,14,116.44000000000001,9,1.5555555555555556
baby,2017-01,41,156.04560975609755,18,2.2777777777777777
baby,2017-02,34,89.66117647058823,15,2.2666666666666666
baby,2017-03,44,84.63818181818182,25,1.76
baby,2017-04,51,78.04803921568627,16,3.1875
baby,2017-05,108,91.19916666666667,27,4.0
baby,2017-06,78,100.83,30,2.6
baby,2017-07,129,123.57449612403101,37,3.4864864864864864
baby,2017-08,133,150.42954887218045,37,3.5945945945945947
baby,2017-09,174,140.03620689655173,42,4.142857142857143
baby,2017-10,138,119.54710144927536,43,3.2093023255813953
baby,2017-11,203,107.08758620689655,53,3.830188679245283
baby,2017-12,143,139.46209790209792,44,3.25
baby,2018-01,226,133.86402654867257,56,4.035714285714286
baby,2018-02,176,147.64670454545455,52,3.3846153846153846
baby,2018-03,227,185.41202643171806,61,3.721311475409836
baby,2018-04,244,204.18786885245902,64,3.8125
baby,2018-05,246,138.34792682926832,77,3.1948051948051948
baby,2018-06,225,136.68942222222222,67,3.3582089552238807
baby,2018-07,222,99.93675675675675,80,2.775
baby,2018-08,217,101.40161290322581,70,3.1
bed_bath_table,2016-10,8,59.87375,4,2.0
bed_bath_table,2017-01,49,83.06428571428572,10,4.9
bed_bath_table,2017-02,170,101.33723529411766,19,8.947368421052632
bed_bath_table,2017-03,296,89.31222972972974,25,11.84
bed_bath_table,2017-04,280,88.65228571428571,26,10.76923076923077
bed_bath_table,2017-05,377,91.02106100795757,35,10.771428571428572
bed_bath_table,2017-06,397,91.91861460957179,33,12.030303030303031
bed_bath_table,2017-07,597,109.75624790619766,29,20.586206896551722
bed_bath_table,2017-08,525,110.9332380952381,45,11.666666666666666
bed_bath_table,2017-09,540,97.81051851851852,45,12.0
bed_bath_table,2017-10,565,84.20697345132744,51,11.07843137254902
bed_bath_table,2017-11,988,91.50471659919029,55,17.963636363636365
bed_bath_table,2017-12,557,92.07385996409336,52,10.711538461538462
bed_bath_table,2018-01,855,89.86705263157894,65,13.153846153846153
bed_bath_table,2018-02,704,87.6954403409091,64,11.0
bed_bath_table,2018-03,811,86.98087546239212,68,11.926470588235293
bed_bath_table,2018-04,747,96.92535475234271,79,9.455696202531646
bed_bath_table,2018-05,747,95.98764390896922,76,9.828947368421053
bed_bath_table,2018-06,773,92.58147477360932,88,8.784090909090908
bed_bath_table,2018-07,626,88.53166134185304,89,7.033707865168539
bed_bath_table,2018-08,658,92.75969604863222,89,7.393258426966292
books_general_interest,2016-10,1,119.5,1,1.0
books_general_interest,2017-01,2,117.445,1,2.0
books_general_interest,2017-02,8,96.58875,6,1.3333333333333333
books_general_interest,2017-03,25,105.9584,6,4.166666666666667
books_general_interest,2017-04,12,76.94833333333334,7,1.7142857142857142
books_general_interest,2017-05,20,92.07849999999999,6,3.3333333333333335
books_general_interest,2017-06,21,92.38476190476192,9,2.3333333333333335
books_general_interest,2017-07,13,99.41538461538462,4,3.25
books_general_interest,2017-08,29,110.85517241379311,15,1.9333333333333333
books_general_interest,2017-09,15,64.34266666666666,12,1.25
books_general_interest,2017-10,11,66.77272727272727,4,2.75
books_general_interest,2017-11,38,70.13052631578948,16,2.375
books_general_interest,2017-12,42,57.07380952380952,16,2.625
books_general_interest,2018-01,45,48.44777777777778,18,2.5
books_general_interest,2018-02,29,65.95344827586207,13,2.230769230769231
books_general_interest,2018-03,39,43.89564102564103,16,2.4375
books_general_interest,2018-04,50,125.9102,12,4.166666666666667
books_general_interest,2018-05,53,113.5666037735849,19,2.789473684210526
books_general_interest,2018-06,39,85.77923076923076,12,3.25
books_general_interest,2018-07,25,163.09799999999998,13,1.9230769230769231
books_general_interest,2018-08,36,43.46611111111111,11,3.272727272727273
books_imported,2017-02,1,99.0,1,1.0
books_imported,2017-04,1,19.99,1,1.0
books_imported,2017-06,2,49.5,1,2.0
books_imported,2017-08,1,61.0,1,1.0
books_imported,2017-09,4,72.5,1,4.0
books_imported,2017-11,4,81.0,2,2.0
books_imported,2017-12,3,77.0,1,3.0
books_imported,2018-01,6,97.16666666666667,2,3.0
books_imported,2018-02,3,108.33333333333333,2,1.5
books_imported,2018-03,3,86.33333333333333,1,3.0
books_imported,2018-04,4,79.4975,2,2.0
books_imported,2018-05,10,41.092,2,5.0
books_imported,2018-06,9,52.01888888888889,2,4.5
books_imported,2018-07,8,50.3475,2,4.0
books_imported,2018-08,1,749.0,1,1.0
books_technical,2016-10,1,267.0,1,1.0
books_technical,2017-02,1,159.0,1,1.0
books_technical,2017-03,2,37.5,2,1.0
books_technical,2017-04,1,75.0,1,1.0
books_technical,2017-05,3,87.33333333333333,2,1.5
books_technical,2017-06,2,72.95,2,1.0
books_technical,2017-07,2,264.0,2,1.0
books_technical,2017-08,9,132.93111111111114,5,1.8
books_technical,2017-09,8,125.16875,4,2.0
books_technical,2017-10,6,146.66666666666666,3,2.0
books_technical,2017-11,6,128.15,1,6.0
books_technical,2017-12,4,167.6725,3,1.3333333333333333
books_technical,2018-01,17,69.20882352941176,4,4.25
books_technical,2018-02,28,52.292142857142856,9,3.111111111111111
books_technical,2018-03,17,53.73352941176471,5,3.4
books_technical,2018-04,23,50.960869565217386,9,2.5555555555555554
books_technical,2018-05,56,54.56214285714286,7,8.0
books_technical,2018-06,26,67.20884615384615,7,3.7142857142857144
books_technical,2018-07,28,75.24321428571429,5,5.6
books_technical,2018-08,29,51.1651724137931,9,3.2222222222222223
cds_dvds_musicals,2017-07,5,45.0,1,5.0
cds_dvds_musicals,2017-08,3,45.0,1,3.0
cds_dvds_musicals,2017-10,1,45.0,1,1.0
cds_dvds_musicals,2017-11,3,65.0,1,3.0
cds_dvds_musicals,2017-12,1,65.0,1,1.0
cds_dvds_musicals,2018-04,1,65.0,1,1.0
christmas_supplies,2017-04,1,69.0,1,1.0
christmas_supplies,2017-06,3,61.56666666666666,1,3.0
christmas_supplies,2017-07,2,32.545,2,1.0
christmas_supplies,2017-08,1,58.9,1,1.0
christmas_supplies,2017-09,4,63.675,2,2.0
christmas_supplies,2017-10,12,32.3375,3,4.0
christmas_supplies,2017-11,24,55.857499999999995,7,3.4285714285714284
christmas_supplies,2017-12,16,30.86875,5,3.2
christmas_supplies,2018-01,10,85.15,4,2.5
christmas_supplies,2018-02,24,85.81875000000001,5,4.8
christmas_supplies,2018-03,12,71.24583333333334,4,3.0
christmas_supplies,2018-04,12,22.929166666666664,3,4.0
christmas_supplies,2018-05,6,87.42166666666667,4,1.5
christmas_supplies,2018-06,7,43.74142857142857,4,1.75
christmas_supplies,2018-07,8,63.695,5,1.6
christmas_supplies,2018-08,11,51.306363636363635,4,2.75
cine_photo,2017-02,1,59.0,1,1.0
cine_photo,2017-04,2,59.0,1,2.0
cine_photo,2017-05,1,59.0,1,1.0
cine_photo,2017-06,1,79.0,1,1.0
cine_photo,2017-09,1,69.0,1,1.0
cine_photo,2017-10,1,69.0,1,1.0
