seller_id,customer_state,order_count,avg_lead_time,lat,lng
0015a82c2db000af6aaaf3ae2ecb0532,MG,2,10.5,-19.8646472791171,-44.42161506590787
0015a82c2db000af6aaaf3ae2ecb0532,PR,1,10.0,-24.793606676623277,-50.8796624431511
001cca7ae9ae17fb1caed9dfb1094831,BA,21,12.80952380952381,-13.049360869325652,-39.560648696030576
001cca7ae9ae17fb1caed9dfb1094831,CE,3,12.0,-4.36315122962809,-39.00413976333794
001cca7ae9ae17fb1caed9dfb1094831,DF,1,18.0,-15.810884759001096,-47.96963045270266
001cca7ae9ae17fb1caed9dfb1094831,ES,6,6.833333333333333,-20.105145324187276,-40.50318322322485
001cca7ae9ae17fb1caed9dfb1094831,GO,1,9.0,-16.577644584237593,-49.33419502806323
001cca7ae9ae17fb1caed9dfb1094831,MG,36,10.277777777777779,-19.8646472791171,-44.42161506590787
001cca7ae9ae17fb1caed9dfb1094831,MT,6,17.0,-14.156481652355609,-55.708955824019334
001cca7ae9ae17fb1caed9dfb1094831,PA,1,62.0,-2.6312130665342277,-49.4858616770825
001cca7ae9ae17fb1caed9dfb1094831,PE,3,17.666666666666668,-8.179098403904215,-35.75886555563954
001cca7ae9ae17fb1caed9dfb1094831,PI,1,22.0,-5.754988726061569,-42.50954149377485
001cca7ae9ae17fb1caed9dfb1094831,PR,11,11.181818181818182,-24.793606676623277,-50.8796624431511
001cca7ae9ae17fb1caed9dfb1094831,RJ,49,10.808510638297872,-22.743477321669616,-43.15554026830261
001cca7ae9ae17fb1caed9dfb1094831,RO,1,8.0,-10.341289125647073,-62.720578548602134
001cca7ae9ae17fb1caed9dfb1094831,RS,16,18.0,-29.67919062328251,-52.03265163171496
001cca7ae9ae17fb1caed9dfb1094831,SC,11,19.636363636363637,-27.222485826583537,-49.6179368726889
001cca7ae9ae17fb1caed9dfb1094831,SE,1,,-10.866199407643286,-37.18116903794639
001cca7ae9ae17fb1caed9dfb1094831,SP,67,11.723076923076922,-23.155308346172937,-47.0840736716131
