tier,seller_count,total_revenue,avg_lead_time,cancellation_rate,review_score,revenue_share
Tier 1 (Top 1%),30,3488505.72,2.839920402434023,0.0009534310892899389,4.071237271187455,25.66654774801079
Tier 2 (Top 2-20%),589,7750652.51,3.1852765873743056,0.0006949693081706342,4.035738789363181,57.02513015405193
Tier 3 (Middle 21-95%),2321,2348239.78,3.278712157821441,0.0003387023090478446,3.970533073215188,17.277084595735833
Tier 4 (Bottom 5%),155,4245.69,4.074355212553048,0.00390625,3.755482456140351,0.03123750220144455
