seller_id,total_revenue,rank,percentile,tier,avg_lead_time,cancellation_rate,total_orders,review_score
ceaec5548eefc6e23e6607c5435102e7,52917.18,35.0,0.011308562197092083,Tier 2 (Top 2-20%),2.7505316840277776,0.009615384615384616,208.0,4.14975845410628
b2ba3715d723d245138f291a6fe42594,51676.88,36.0,0.011631663974151859,Tier 2 (Top 2-20%),5.063568694760101,0.0,352.0,4.108333333333333
966cb4760537b1404caedd472cc610a5,51286.05,37.0,0.011954765751211632,Tier 2 (Top 2-20%),1.9188769977168951,0.0,73.0,3.8533333333333335
e882b2a25a10b9c057cc49695f222c19,51057.54,38.0,0.012277867528271405,Tier 2 (Top 2-20%),3.1594987228607923,0.0,58.0,4.6
2bf6a2c1e71bbd29a4ad64e6d3c3629f,50628.9,39.0,0.012600969305331179,Tier 2 (Top 2-20%),2.0545646654719234,0.0,31.0,4.193548387096774
f8db351d8c4c4c22c6835c19a46f01b0,50525.6,40.0,0.012924071082390954,Tier 2 (Top 2-20%),1.3242369575975412,0.0,711.0,4.218836565096953
17f51e7198701186712e53a39c564617,48019.0,41.0,0.013247172859450727,Tier 2 (Top 2-20%),11.741969869459624,0.0,61.0,4.344262295081967
8160255418d5aaa7dbdc9f4c64ebda44,47017.69,42.0,0.0135702746365105,Tier 2 (Top 2-20%),3.9962548135167877,0.0,428.0,3.839160839160839
77530e9772f57a62c906e1c21538ab82,46610.4,43.0,0.013893376413570274,Tier 2 (Top 2-20%),1.970377551144076,0.002617801047120419,382.0,4.053846153846154
4e922959ae960d389249c378d1c939f5,46030.37,44.0,0.014216478190630048,Tier 2 (Top 2-20%),3.4608788047512995,0.0,449.0,3.89532293986637
c826c40d7b19f62a09e2d7c5e7295ee2,45643.74,45.0,0.014539579967689823,Tier 2 (Top 2-20%),2.36515983544686,0.0,368.0,4.0431266846361185
850f4f8af5ea87287ac68de36e29107f,45355.36,46.0,0.014862681744749596,Tier 2 (Top 2-20%),1.0184096003898635,0.0,190.0,4.287234042553192
b33e7c55446eabf8fe1a42d037ac7d6d,44985.17,47.0,0.01518578352180937,Tier 2 (Top 2-20%),2.0939329769736843,0.0,152.0,4.15483870967742
ba90964cff9b9e0e6f32b23b82465f7b,44212.5,48.0,0.015508885298869143,Tier 2 (Top 2-20%),1.0040152899610135,0.0,38.0,4.421052631578948
eeb6de78f79159600292e314a77cbd18,43739.84,49.0,0.015831987075928918,Tier 2 (Top 2-20%),1.0456701671183377,0.0,82.0,4.428571428571429
4d6d651bd7684af3fffabd5f08d12e5a,43587.4,50.0,0.01615508885298869,Tier 2 (Top 2-20%),3.6354749821937324,0.0,390.0,4.1767676767676765
e9779976487b77c6d4ac45f75ec7afe9,43162.95,51.0,0.016478190630048465,Tier 2 (Top 2-20%),2.2964889808472857,0.0013698630136986301,730.0,4.167336010709505
c3cfdc648177fdbbbb35635a37472c53,43048.18,52.0,0.01680129240710824,Tier 2 (Top 2-20%),1.571179337231969,0.0,304.0,4.447284345047923
b839e41795b7f3ad94cc2014a52f6796,42829.0,53.0,0.017124394184168012,Tier 2 (Top 2-20%),1.4344778050108933,0.0,34.0,4.027777777777778
2eb70248d66e0e3ef83659f71b244378,42628.61,54.0,0.017447495961227785,Tier 2 (Top 2-20%),10.544530840815563,0.0,198.0,2.712918660287081
d91fb3b7d041e83b64a00a3edfb37e4f,40889.74,55.0,0.017770597738287562,Tier 2 (Top 2-20%),2.8035011462998507,0.0,521.0,4.098039215686274
