Distance-Group,Price-Elasticity,Freight-Elasticity,P-val-Freight
Near (Same State),-0.025071573757572935,-0.004851835387056535,0.08933700607496108
Far (Different State),-0.01323789289965994,-0.03422122724929375,2.1510196454152957e-76
