Segment,Elasticity,P-value,R-squared
VIP,-0.07219920248073566,4.133252967477917e-147,0.03644880298134434
Regular,-0.028874816433032285,2.0738521662835877e-89,0.00798836437560757
At-Risk,-0.02668644429386313,1.441139700784206e-51,0.007732102654716466
