seller_id,month,nominal_gmv,realized_cash
00720abe85ba0859807595bbf045a33b,2018-08,141.67,90.269
00ab3eff1b5192e5f1a63bcecfee11c8,2017-03,110.08,0.0
00ab3eff1b5192e5f1a63bcecfee11c8,2017-04,0.0,55.04
00ab3eff1b5192e5f1a63bcecfee11c8,2017-05,0.0,55.04
00d8b143d12632bad99c0ad66ad52825,2018-03,137.1,0.0
00d8b143d12632bad99c0ad66ad52825,2018-04,0.0,27.419999999999998
00d8b143d12632bad99c0ad66ad52825,2018-05,0.0,27.419999999999998
00d8b143d12632bad99c0ad66ad52825,2018-06,0.0,27.419999999999998
00d8b143d12632bad99c0ad66ad52825,2018-07,0.0,27.419999999999998
00d8b143d12632bad99c0ad66ad52825,2018-08,0.0,27.419999999999998
00ee68308b45bc5e2660cd833c3f81cc,2017-09,287.39,0.0
00ee68308b45bc5e2660cd833c3f81cc,2017-10,1193.87,79.495
00ee68308b45bc5e2660cd833c3f81cc,2017-11,2028.37,418.5634126984127
00ee68308b45bc5e2660cd833c3f81cc,2017-12,2061.37,1592.1383015873016
00ee68308b45bc5e2660cd833c3f81cc,2018-01,6827.52,2099.0719126984127
00ee68308b45bc5e2660cd833c3f81cc,2018-02,4698.51,5028.070357142857
00ee68308b45bc5e2660cd833c3f81cc,2018-03,3053.08,3796.2324126984126
00ee68308b45bc5e2660cd833c3f81cc,2018-04,2618.3365344657986,2820.1878293650793
00ee68308b45bc5e2660cd833c3f81cc,2018-05,87.32,2526.338859975167
00ee68308b45bc5e2660cd833c3f81cc,2018-06,255.64000000000001,1661.1227165075236
00ee68308b45bc5e2660cd833c3f81cc,2018-07,135.63489451476792,1084.2548276186349
00ee68308b45bc5e2660cd833c3f81cc,2018-08,222.02,862.5323845806602
00fc707aaaad2d31347cf883cd2dfe10,2018-01,302.93,0.0
00fc707aaaad2d31347cf883cd2dfe10,2018-02,10072.405083501439,2450.37
00fc707aaaad2d31347cf883cd2dfe10,2018-03,2713.45,6647.430790512466
00fc707aaaad2d31347cf883cd2dfe10,2018-04,1389.7721978021978,2602.311175127851
00fc707aaaad2d31347cf883cd2dfe10,2018-05,251.39,1824.8752593769352
00fc707aaaad2d31347cf883cd2dfe10,2018-06,232.27527514231497,320.8814832720299
00fc707aaaad2d31347cf883cd2dfe10,2018-07,0.0,619.5062272788138
00fc707aaaad2d31347cf883cd2dfe10,2018-08,0.0,139.96448327202995
010543a62bd80aa422851e79a3bc7540,2017-07,726.71,0.0
010543a62bd80aa422851e79a3bc7540,2017-08,721.24,242.23666666666668
010543a62bd80aa422851e79a3bc7540,2017-09,0.0,314.3606666666667
010543a62bd80aa422851e79a3bc7540,2017-10,0.0,386.48466666666667
010543a62bd80aa422851e79a3bc7540,2017-11,0.0,72.124
010543a62bd80aa422851e79a3bc7540,2017-12,0.0,72.124
010543a62bd80aa422851e79a3bc7540,2018-01,0.0,72.124
010543a62bd80aa422851e79a3bc7540,2018-02,0.0,72.124
010543a62bd80aa422851e79a3bc7540,2018-03,0.0,72.124
010543a62bd80aa422851e79a3bc7540,2018-04,0.0,72.124
010543a62bd80aa422851e79a3bc7540,2018-05,0.0,72.124
010da0602d7774602cd1b3f5fb7b709e,2018-06,1079.75,0.0
010da0602d7774602cd1b3f5fb7b709e,2018-07,0.0,215.95000000000002
010da0602d7774602cd1b3f5fb7b709e,2018-08,0.0,215.95000000000002
01266d4c46afa519678d16a8b683d325,2018-08,137.48,75.47
013900e863eace745d3ec7614cab5b1a,2017-03,186.32,0.0
013900e863eace745d3ec7614cab5b1a,2017-04,0.0,186.32
013900e863eace745d3ec7614cab5b1a,2017-08,209.45999999999998,0.0
013900e863eace745d3ec7614cab5b1a,2017-09,0.0,209.45999999999998
013900e863eace745d3ec7614cab5b1a,2017-11,153.98,0.0
013900e863eace745d3ec7614cab5b1a,2017-12,474.19,124.70285714285713
013900e863eace745d3ec7614cab5b1a,2018-01,360.90999999999997,170.61019047619047
013900e863eace745d3ec7614cab5b1a,2018-02,481.21,272.22638095238096
013900e863eace745d3ec7614cab5b1a,2018-03,0.0,364.31838095238095
013900e863eace745d3ec7614cab5b1a,2018-04,230.28,185.50838095238095
013900e863eace745d3ec7614cab5b1a,2018-05,0.0,194.43038095238094
013900e863eace745d3ec7614cab5b1a,2018-06,0.0,173.00638095238094
013900e863eace745d3ec7614cab5b1a,2018-07,0.0,101.52352380952381
013900e863eace745d3ec7614cab5b1a,2018-08,0.0,66.27019047619046
014c0679dd340a0e338872e7ec85666a,2017-01,128.2,0.0
014c0679dd340a0e338872e7ec85666a,2017-02,131.34,71.36666666666666
014c0679dd340a0e338872e7ec85666a,2017-03,0.0,37.63466666666666
014c0679dd340a0e338872e7ec85666a,2017-04,619.07,37.63466666666666
014c0679dd340a0e338872e7ec85666a,2017-05,637.49,99.54166666666667
014c0679dd340a0e338872e7ec85666a,2017-06,0.0,227.03966666666668
014c0679dd340a0e338872e7ec85666a,2017-07,0.0,227.03966666666668
014c0679dd340a0e338872e7ec85666a,2017-08,0.0,189.405
014c0679dd340a0e338872e7ec85666a,2017-09,682.35,189.405
014c0679dd340a0e338872e7ec85666a,2017-10,0.0,257.64
014c0679dd340a0e338872e7ec85666a,2017-11,196.72,130.142
014c0679dd340a0e338872e7ec85666a,2017-12,450.24,149.814
014c0679dd340a0e338872e7ec85666a,2018-01,490.65,172.326
014c0679dd340a0e338872e7ec85666a,2018-02,1369.63,335.876
014c0679dd340a0e338872e7ec85666a,2018-03,1861.04,616.3765000000001
014c0679dd340a0e338872e7ec85666a,2018-04,382.22,1601.5055
014c0679dd340a0e338872e7ec85666a,2018-05,0.0,812.9483571428572
014c0679dd340a0e338872e7ec85666a,2018-06,0.0,812.9483571428572
014c0679dd340a0e338872e7ec85666a,2018-07,737.36,202.86085714285713
014c0679dd340a0e338872e7ec85666a,2018-08,0.0,380.4125238095238
014d9a685fd57276679edd00e07089e5,2017-11,82.62140467339353,82.62140467339353
014d9a685fd57276679edd00e07089e5,2018-01,114.58215153681199,4.774256314033833
014d9a685fd57276679edd00e07089e5,2018-03,269.5188330554894,78.30425631403384
014d9a685fd57276679edd00e07089e5,2018-04,161.18,185.26113961958276
014d9a685fd57276679edd00e07089e5,2018-05,0.0,69.5153959336166
014d9a685fd57276679edd00e07089e5,2018-06,0.0,64.74113961958277
014d9a685fd57276679edd00e07089e5,2018-07,0.0,12.881139619582774
014d9a685fd57276679edd00e07089e5,2018-08,310.0,12.881139619582774
0176f73cc1195f367f7b32db1e5b3aa8,2017-11,454.19,0.0
0176f73cc1195f367f7b32db1e5b3aa8,2017-12,251.97,184.942
0176f73cc1195f367f7b32db1e5b3aa8,2018-01,1099.054622005988,184.942
0176f73cc1195f367f7b32db1e5b3aa8,2018-02,439.67,700.1341491793199
0176f73cc1195f367f7b32db1e5b3aa8,2018-03,258.89,407.34814917931993
0176f73cc1195f367f7b32db1e5b3aa8,2018-04,462.33000000000004,278.37814917931996
