seller_state,customer_state,avg_lead_time,p95_lead_time,count
BA,AL,16.17457523148148,23.31658159722222,10
BA,BA,11.164251282532533,26.28128472222222,74
BA,CE,15.358008432539682,31.424824652777772,14
BA,DF,11.53444637345679,18.129243634259254,18
BA,ES,13.668433938746439,22.981532407407403,13
BA,GO,17.747154882154884,32.77754629629629,11
BA,MA,16.181276041666667,22.842789351851852,16
BA,MG,10.542682783018867,16.962261574074073,53
BA,PA,23.225598695286195,35.2948900462963,11
BA,PB,18.759303240740742,34.511916666666664,10
BA,PE,16.720065476190477,25.100197916666666,35
BA,PI,10.535822916666666,17.575152199074065,10
BA,PR,14.42236022079772,24.226988425925917,13
BA,RJ,13.212645484866588,24.413331018518498,93
BA,RN,17.884327546296298,38.958721064814796,10
BA,RS,15.368567294973545,27.193166666666656,42
BA,SC,16.598621794871796,25.155620370370364,13
BA,SP,11.442191666666666,20.032910300925916,150
CE,RJ,17.385344907407408,36.50187037037034,10
CE,SP,15.288256655092594,24.180201388888886,24
DF,BA,17.242689251751752,24.79828472222219,37
DF,CE,19.47486111111111,36.13389583333332,13
DF,DF,6.018376593806922,17.01449074074074,61
DF,ES,19.842964015151516,27.94474537037037,22
DF,GO,9.23101819701646,15.875998263888889,36
DF,MA,18.290465067340065,22.358796296296298,11
DF,MG,9.552619170096023,18.97742361111111,108
DF,MT,16.459328703703704,28.40517361111111,13
DF,PA,20.126936026936026,34.698055555555555,11
DF,PE,14.43437037037037,20.48137152777777,10
DF,PR,12.066556351273148,21.420719907407406,32
DF,RJ,14.143935515873016,36.845671296296295,105
DF,RS,17.49306763285024,36.04946759259259,23
DF,SC,16.44369301994302,28.98929976851852,26
DF,SP,10.830139768377801,20.20528935185184,329
ES,BA,13.140746141975308,18.172387731481468,30
ES,MG,10.557566494190269,15.548848379629629,51
ES,PR,11.54054542824074,18.44569733796296,16
ES,RJ,12.279561471193414,30.251828125000028,72
ES,RS,17.750692791005292,31.98790509259259,21
ES,SC,18.452559650997152,33.86777083333331,13
ES,SP,11.286068337359099,23.87785185185185,115
GO,CE,18.63119212962963,31.284520833333332,13
GO,DF,9.264385376756065,14.015243055555551,29
GO,GO,5.361829297245964,9.395261574074075,39
GO,MA,17.66669146825397,27.397474537037038,14
GO,MG,11.000178335222978,19.19000578703703,98
GO,MT,14.483457175925926,18.76189525462963,10
GO,PA,21.555693287037037,31.579843749999995,10
GO,PE,20.390444444444444,37.6804074074074,10
GO,PR,15.428451244212964,32.776617476851854,16
GO,RJ,13.712187107658504,26.76851388888885,59
GO,RS,17.303714313271605,31.057088541666662,12
GO,SC,18.894695917508418,25.64371527777778,11
GO,SP,11.025998327250608,20.74404398148148,137
MA,BA,21.87207175925926,32.88692418981481,10
MA,DF,16.121092096560847,28.96986226851852,28
MA,ES,28.53477118945869,45.514233796296296,13
MA,GO,21.21286220043573,40.788041666666665,17
MA,MA,10.438613425925926,20.774789351851847,15
MA,MG,17.395610170717593,33.92496296296296,32
MA,PE,15.580570812289562,37.108718749999994,22
MA,RJ,16.767250881834215,31.716865740740737,42
MA,RS,19.010178376906318,37.81647222222222,17
MA,SC,16.62805960648148,30.003074652777784,20
MA,SP,16.324353454415952,31.862118055555555,130
MG,AC,22.45114236111111,35.5589409722222,10
MG,AL,22.185168737816763,38.30886516203702,38
MG,AM,25.753003086419753,40.64987731481481,15
MG,BA,16.810461090686275,33.93627546296296,408
MG,CE,20.025352223365342,44.061875,81
MG,DF,11.580939911265432,20.578796296296296,216
MG,ES,14.41685016517774,30.29287037037037,199
MG,GO,13.99256471893491,26.079268518518507,169
MG,MA,20.137330189331124,39.549675925925925,67
MG,MG,8.535424998333667,18.530136574074067,1667
MG,MS,15.732036533816427,24.459337962962962,69
MG,MT,21.096083984375,32.521076388888886,64
MG,PA,24.837915366208904,43.85818287037037,89
MG,PB,19.812080084470438,37.09238425925926,57
MG,PE,16.611138687600643,30.903893518518508,115
MG,PI,15.792628717732885,26.909361111111107,33
MG,PR,12.500038233773822,21.515495370370367,412
MG,RJ,13.686823705600794,32.56711805555552,1269
MG,RN,15.4641207010582,24.866318287037036,35
MG,RO,16.965753038194443,28.12429398148148,16
MG,RS,17.07709759557945,33.27611747685185,310
MG,SC,16.687445365392275,30.192901620370364,279
MG,SE,20.89203298611111,39.407765624999975,40
MG,SP,10.760003055491566,22.391681712962956,2894
MG,TO,16.360245225694445,25.261414930555556,16
MS,SP,9.22829678362573,15.954130787037007,19
MT,GO,11.72409090909091,15.940596064814814,11
MT,MG,13.255401785714284,19.0209375,21
MT,RJ,15.216581514550265,31.064189814814814,14
MT,SP,12.66778220315904,20.029248842592594,34
PE,BA,12.353959056712963,18.230925925925927,32
PE,CE,10.90548066448802,20.37912962962961,17
PE,DF,11.58666512345679,22.40203472222221,15
PE,ES,13.598602167508416,20.09963773148148,22
PE,GO,13.903538105413105,20.58407175925926,13
PE,MG,11.615548321759258,19.075185185185184,72
PE,PE,6.802445987654321,13.31365798611111,24
PE,RJ,14.162325515373864,30.093759259259247,53
PE,RS,20.458068783068786,35.55207581018518,14
PE,SC,18.601057870370372,30.223190972222216,10
