seller_id,category_eng,seller_state,avg_actual_lead_time,avg_predicted_lead_time,std_lead_time,worst_case_lead_time,order_count,ai_safety_stock_days,traditional_safety_stock_days,efficiency_gap
0015a82c2db000af6aaaf3ae2ecb0532,small_appliances,SP,10.793885030864198,12.850945174936063,1.4640524029172346,12.127430555555556,3,15.2666316397495,10.793885030864198,-2.0570601440718654
001cca7ae9ae17fb1caed9dfb1094831,construction_tools_construction,ES,16.386387174211247,15.799426160085668,9.180448523367186,32.75880092592592,27,30.947166223641524,16.386387174211247,0.5869610141255794
001cca7ae9ae17fb1caed9dfb1094831,garden_tools,ES,12.133161585365853,13.531508779315665,6.00820490642218,23.182171296296296,205,23.44504687491226,12.133161585365853,-1.398347193949812
002100f778ceb8431b7a1020ff7ab48f,furniture_decor,SP,16.192371399176952,13.506378823580318,8.402256926149478,34.59225057870369,54,27.370102751726957,16.192371399176952,2.685992575596634
003554e2dce176b5555353e4f3555ac8,unknown,GO,4.646805555555556,17.69587315630865,,4.646805555555556,1,17.69587315630865,4.646805555555556,-13.049067600753094
004c9cd9d87a3c30c522c48c4fc07416,bed_bath_table,SP,13.828780241935483,13.286406429148785,7.805588841225754,29.576465277777775,155,26.16562801717128,13.828780241935483,0.5423738127866979
004c9cd9d87a3c30c522c48c4fc07416,unknown,SP,17.758762538580246,14.88396701045946,10.957168425129865,35.97609664351852,12,32.96329491192373,17.758762538580246,2.874795528120787
00720abe85ba0859807595bbf045a33b,housewares,SP,8.532746171652422,9.147110448544158,8.222946905343038,20.702071759259262,26,22.71497284236017,8.532746171652422,-0.6143642768917363
00ab3eff1b5192e5f1a63bcecfee11c8,health_beauty,SP,9.052488425925926,9.56813366005409,,9.052488425925926,1,9.56813366005409,9.052488425925926,-0.5156452341281632
00d8b143d12632bad99c0ad66ad52825,fashion_bags_accessories,MG,7.233344907407408,20.977605924005886,,7.233344907407408,1,20.977605924005886,7.233344907407408,-13.744261016598479
00ee68308b45bc5e2660cd833c3f81cc,bed_bath_table,SP,8.301048580039772,11.19121053045103,7.229819277196325,21.28009722222222,149,23.120412337824966,8.301048580039772,-2.890161950411258
00ee68308b45bc5e2660cd833c3f81cc,furniture_mattress_and_upholstery,SP,12.412834595959596,13.427660866339698,10.923675447485824,33.87537673611111,22,31.451725354691305,12.412834595959596,-1.0148262703801016
00fc707aaaad2d31347cf883cd2dfe10,computers_accessories,PR,15.77124777091907,16.38242385505321,7.863362949633761,30.037881944444443,135,29.356972721948917,15.77124777091907,-0.6111760841341418
010543a62bd80aa422851e79a3bc7540,computers_accessories,SP,9.085081018518519,8.868041095525305,4.3643056108359435,11.862508101851851,2,16.06914535340461,9.085081018518519,0.21703992299321406
010da0602d7774602cd1b3f5fb7b709e,kitchen_dining_laundry_garden_furniture,SP,26.114687499999995,9.660080236380507,0.0,26.1146875,5,9.660080236380507,26.114687499999995,16.454607263619486
011b0eaba87386a2ae96a7d32bb531d1,health_beauty,SP,25.1803125,11.689269905510669,0.0,25.1803125,2,11.689269905510669,25.1803125,13.49104259448933
01266d4c46afa519678d16a8b683d325,costruction_tools_tools,PR,5.922897376543209,8.764170869669622,2.546950744241246,8.391673611111111,3,12.966639597667676,5.922897376543209,-2.8412734931264128
013900e863eace745d3ec7614cab5b1a,baby,PR,11.411495370370371,15.603482984216706,8.362689087395255,23.269853009259247,10,29.401919978418874,11.411495370370371,-4.191987613846335
013900e863eace745d3ec7614cab5b1a,fashion_shoes,PR,11.232947530864198,14.468523166416508,4.729669237734788,17.980568287037027,15,22.27247740867891,11.232947530864198,-3.23557563555231
013900e863eace745d3ec7614cab5b1a,stationery,PR,16.17273148148148,11.402600699330725,,16.17273148148148,1,11.402600699330725,16.17273148148148,4.770130782150757
014c0679dd340a0e338872e7ec85666a,garden_tools,MG,13.823483796296296,14.198286102752252,,13.823483796296296,1,14.198286102752252,13.823483796296296,-0.37480230645595647
014c0679dd340a0e338872e7ec85666a,kitchen_dining_laundry_garden_furniture,MG,21.722046296296295,17.58428939264421,7.849190529143743,33.478444444444435,10,30.535453765731383,21.722046296296295,4.137756903652086
014c0679dd340a0e338872e7ec85666a,signaling_and_security,MG,13.564701967592592,11.897929988154823,6.7057520219480455,21.52131655092592,4,22.962420824369097,13.564701967592592,1.666771979437769
014d9a685fd57276679edd00e07089e5,cool_stuff,PR,8.606539351851852,10.695234731280406,2.662314309206294,11.047947916666665,3,15.088053341470792,8.606539351851852,-2.088695379428554
014d9a685fd57276679edd00e07089e5,stationery,PR,8.914930555555555,9.73049808960485,3.8689240784800023,15.115837962962962,9,16.114222819096852,8.914930555555555,-0.8155675340492952
0176f73cc1195f367f7b32db1e5b3aa8,bed_bath_table,SP,13.377644066764132,11.701594252685688,10.053752809979331,36.955958912037026,38,28.290286389151582,13.377644066764132,1.6760498140784446
01bcc9d254a0143f0ce9791b960b2a47,health_beauty,GO,12.787733796296296,14.017606130769185,7.928428549855672,25.295289930555555,10,27.099513238031044,12.787733796296296,-1.2298723344728888
01c97ebb5cdac52891c0ed1c37ba0012,computers_accessories,SP,12.708532986111111,12.622664852537284,9.408843569397128,24.538872685185183,12,28.147256742042543,12.708532986111111,0.08586813357382717
01cf7e3d21494c41fb86034f2e714fa1,air_conditioning,PR,10.24952951388889,12.023338197040045,4.736691928630735,17.889828125000005,20,19.83887987928076,10.24952951388889,-1.773808683151156
01cf7e3d21494c41fb86034f2e714fa1,baby,PR,8.623202160493827,20.302687503669375,1.3815604067484442,9.754233796296296,3,22.582262174804306,8.623202160493827,-11.679485343175548
